category;cohort;country;region
Data;2020;Australia;APJ
Data;2020;Australia;APJ
Data;2020;Australia;APJ
Serverless;2020;Australia;APJ
Serverless;2020;Australia;APJ
Serverless;2020;Australia;APJ
Data;2020;Bangladesh;APJ
Security & Identity;2020;Cambodia;APJ
Cloud Operations;2020;India;APJ
Cloud Operations;2020;India;APJ
Cloud Operations;2020;India;APJ
Cloud Operations;2020;India;APJ
Containers;2020;India;APJ
Containers;2020;India;APJ
Containers;2020;India;APJ
Containers;2020;India;APJ
Data;2020;India;APJ
Data;2020;India;APJ
Data;2020;India;APJ
Data;2020;India;APJ
Front-End Web & Mobile;2020;India;APJ
Front-End Web & Mobile;2020;India;APJ
Front-End Web & Mobile;2020;India;APJ
Machine Learning & GenAI;2020;India;APJ
Machine Learning & GenAI;2020;India;APJ
Machine Learning & GenAI;2020;India;APJ
Security & Identity;2020;India;APJ
Serverless;2020;India;APJ
Serverless;2020;India;APJ
Serverless;2020;India;APJ
Cloud Operations;2020;Indonesia;APJ
Dev Tools;2020;Japan;APJ
Networking & Content Delivery;2020;Japan;APJ
Serverless;2020;Japan;APJ
Serverless;2020;Japan;APJ
Containers;2020;Malaysia;APJ
Front-End Web & Mobile;2020;Malaysia;APJ
Front-End Web & Mobile;2020;Malaysia;APJ
Data;2020;Nepal;APJ
Dev Tools;2020;New Zealand;APJ
Machine Learning & GenAI;2020;Pakistan;APJ
Machine Learning & GenAI;2020;Pakistan;APJ
Machine Learning & GenAI;2020;Philippines;APJ
Serverless;2020;Singapore;APJ
Containers;2020;South Korea;APJ
Front-End Web & Mobile;2020;South Korea;APJ
Machine Learning & GenAI;2020;South Korea;APJ
Serverless;2020;Bahrain;EMEA
Serverless;2020;Belgium;EMEA
Security & Identity;2020;Bulgaria;EMEA
Security & Identity;2020;Denmark;EMEA
Networking & Content Delivery;2020;Egypt;EMEA
Dev Tools;2020;France;EMEA
Security & Identity;2020;France;EMEA
Serverless;2020;France;EMEA
Serverless;2020;France;EMEA
Cloud Operations;2020;Germany;EMEA
Dev Tools;2020;Germany;EMEA
Front-End Web & Mobile;2020;Germany;EMEA
Front-End Web & Mobile;2020;Germany;EMEA
Security & Identity;2020;Germany;EMEA
Security & Identity;2020;Germany;EMEA
Serverless;2020;Germany;EMEA
Serverless;2020;Germany;EMEA
Serverless;2020;Germany;EMEA
Machine Learning & GenAI;2020;Hungary;EMEA
Front-End Web & Mobile;2020;Ireland;EMEA
Front-End Web & Mobile;2020;Ireland;EMEA
Machine Learning & GenAI;2020;Israel;EMEA
