category;cohort;country;region
Dev Tools;2023;Bangladesh;APJ
AI Engineering;2025;India;APJ
Serverless;2023;India;APJ
Security;2025;USA;NAMER
Network C&D;2025;Germany;EMEA
Data;2025;India;APJ
Security;2025;Nepal;APJ
Containers;2024;France;EMEA
Serverless;2025;Egypt;EMEA
Containers;2023;Egypt;EMEA
Machine Learning;2023;Egypt;EMEA
Security;2023;USA;NAMER
Cloud Operations;2023;Indonesia;APJ
Machine Learning;2023;Pakistan;APJ
Containers;2025;Pakistan;APJ
Data;2024;Pakistan;APJ
AI Engineering;2022;Egypt;EMEA
AI Engineering;2025;France;EMEA
Containers;2025;Nigeria;EMEA
Serverless;2025;United Arab Emirates;EMEA
Network C&D;2025;Nigeria;EMEA
Serverless;2025;India;APJ
Security;2025;India;APJ
Serverless;2024;Canada;NAMER
Containers;2023;India;APJ
Containers;2023;India;APJ
Data;2020;India;APJ
Dev Tools;2023;India;APJ
Containers;2020;India;APJ
Security;2024;India;APJ
Security;2023;Canada;NAMER
Cloud Operations;2025;India;APJ
Serverless;2025;Nepal;APJ
Machine Learning;2023;India;APJ
Data;2025;India;APJ
AI Engineering;2024;Nepal;APJ
AI Engineering;2025;India;APJ
Security;2025;UK;EMEA
Serverless;2025;Philippines;APJ
Dev Tools;2023;Sri Lanka;APJ
Machine Learning;2024;USA;NAMER
Security;2022;UK;EMEA
Security;2023;USA;NAMER
Serverless;2023;Poland;EMEA
Security;2025;Spain;EMEA
Containers;2025;Italy;EMEA
Security;2022;Nigeria;EMEA
Security;2021;Kenya;EMEA
Serverless;2025;Nigeria;EMEA
Containers;2025;Nigeria;EMEA
Network C&D;2025;India;APJ
Cloud Operations;2023;India;APJ
Containers;2023;India;APJ
Dev Tools;2023;Indonesia;APJ
AI Engineering;2025;India;APJ
AI Engineering;2025;India;APJ
Serverless;2021;South Africa;EMEA
Serverless;2023;Hungary;EMEA
Machine Learning;2024;Mexico;LATAM
Containers;2023;France;EMEA
Machine Learning;2022;Indonesia;APJ
Dev Tools;2023;India;APJ
Machine Learning;2022;Sri Lanka;APJ
Cloud Operations;2022;France;EMEA
Containers;2025;Pakistan;APJ
Cloud Operations;2023;United Arab Emirates;EMEA
Containers;2023;United Arab Emirates;EMEA
Containers;2024;Bosnia and Herzegovina;EMEA
Containers;2021;Malaysia;APJ
Machine Learning;2022;Egypt;EMEA
Machine Learning;2022;Egypt;EMEA
Machine Learning;2023;Egypt;EMEA
Serverless;2025;Egypt;EMEA
Serverless;2025;United Arab Emirates;EMEA
Security;2021;Japan;APJ
Containers;2025;Malaysia;APJ
Containers;2022;Qatar;EMEA
Cloud Operations;2025;UK;EMEA
Security;2024;USA;NAMER
Dev Tools;2023;Nepal;APJ
Containers;2025;India;APJ
Serverless;2025;India;APJ
Data;2025;India;APJ
AI Engineering;2025;India;APJ
Containers;2021;India;APJ
Network C&D;2021;India;APJ
Containers;2021;Nepal;APJ
Containers;2022;Nigeria;EMEA
Dev Tools;2022;Nigeria;EMEA
Security;2025;Nepal;APJ
Containers;2025;India;APJ
Serverless;2025;India;APJ
Dev Tools;2022;India;APJ
Containers;2024;Singapore;APJ
Serverless;2024;India;APJ
Serverless;2021;India;APJ
Network C&D;2025;Australia;APJ
Serverless;2021;Finland;EMEA
Containers;2022;Japan;APJ
Containers;2022;Benin;EMEA
Dev Tools;2024;Japan;APJ
Security;2024;Japan;APJ
Serverless;2020;Japan;APJ
Network C&D;2024;Nepal;APJ
Cloud Operations;2023;India;APJ
Serverless;2023;Australia;APJ
Cloud Operations;2025;Peru;LATAM
Security;2022;Kenya;EMEA
Serverless;2025;Indonesia;APJ
AI Engineering;2025;Colombia;LATAM
Dev Tools;2023;Colombia;LATAM
Dev Tools;2023;Colombia;LATAM
Security;2022;Spain;EMEA
Dev Tools;2025;Mexico;LATAM
AI Engineering;2022;Poland;EMEA
Security;2023;Canada;NAMER
Network C&D;2023;Bosnia and Herzegovina;EMEA
Security;2024;Serbia;EMEA
Containers;2025;Serbia;EMEA
Machine Learning;2025;Italy;EMEA
Serverless;2022;Germany;EMEA
Dev Tools;2025;Germany;EMEA
Cloud Operations;2024;Spain;EMEA
Dev Tools;2022;Romania;EMEA
Dev Tools;2020;USA;NAMER
Security;2022;USA;NAMER
Serverless;2021;UK;EMEA
Serverless;2022;UK;EMEA
Containers;2025;USA;NAMER
Containers;2025;Mexico;LATAM
Serverless;2025;Romania;EMEA
Data;2022;Colombia;LATAM
Security;2023;Germany;EMEA
Containers;2022;Thailand;APJ
Serverless;2023;Canada;NAMER
Dev Tools;2025;Canada;NAMER
Containers;2025;Israel;EMEA
AI Engineering;2023;USA;NAMER
Security;2022;Brazil;LATAM
Serverless;2023;Peru;LATAM
Data;2024;Germany;EMEA
Data;2025;Kazakhstan;EMEA
Containers;2021;India;APJ
Serverless;2024;Israel;EMEA
Containers;2022;Nigeria;EMEA
Security;2022;Turkey;EMEA
Serverless;2023;Netherlands;EMEA
Serverless;2022;Germany;EMEA
Serverless;2025;Pakistan;APJ
Containers;2021;Belarus;EMEA
Data;2023;Brazil;LATAM
Dev Tools;2022;India;APJ
Cloud Operations;2025;India;APJ
Serverless;2024;Canada;NAMER
Serverless;2024;Sweden;EMEA
Serverless;2024;Spain;EMEA
Network C&D;2022;India;APJ
Cloud Operations;2023;India;APJ
Dev Tools;2022;USA;NAMER
Cloud Operations;2025;Brazil;LATAM
Machine Learning;2020;Canada;NAMER
Containers;2024;Canada;NAMER
Containers;2023;Brazil;LATAM
Machine Learning;2023;USA;NAMER
Cloud Operations;2025;Canada;NAMER
Cloud Operations;2025;India;APJ
Security;2025;India;APJ
Cloud Operations;2025;Philippines;APJ
Dev Tools;2023;USA;NAMER
Cloud Operations;2023;Bangladesh;APJ
Cloud Operations;2020;India;APJ
Machine Learning;2024;Nepal;APJ
Machine Learning;2022;USA;NAMER
Serverless;2023;India;APJ
Containers;2025;Israel;EMEA
Security;2024;USA;NAMER
Containers;2023;India;APJ
Containers;2022;USA;NAMER
Dev Tools;2025;USA;NAMER
Serverless;2022;Viet Nam;APJ
Dev Tools;2024;Macedonia;EMEA
Dev Tools;2023;France;EMEA
Data;2025;India;APJ
Security;2022;Spain;EMEA
