country;latitud;longitud
Albania;41.1533;20.1683
Algeria;28.144113769;2.679965933
Angola;-11.2027;17.8739
Argentina;-35.495758184;-65.071542108
Armenia;40.293084855;44.940221311
Australia;-25.70993157;134.484031198
Austria;47.585810005;14.137076948
Bahamas;25.04082;-77.37122
Bahrain;26.051858774;50.564426954
Bangladesh;23.804670475;90.288453901
Barbados;13.172221979;-59.556424478
Belarus;53.542208696;28.050095379
Belgium;50.640682937;4.661070427
Belize;17.20905026;-88.694961553
Benin;9.661949812;2.339196889
Bolivia;-16.2902;-63.5887
Bosnia and Herzegovina;44.168254123;17.785249916
Brazil;-10.769946429;-53.073466889
Brunei Darussalam;4.520762436;114.750750209
Bulgaria;42.755008391;25.23641224
Cambodia;12.709012202;104.910968037
Cameroon;5.673798153;12.738610917
Canada;60.10867;-113.64258
Chad;15.37626485;18.674165747
Chile;-30.0;-71.0
China;36.567348398;103.930027033
Colombia;3.901115804;-73.075754924
Congo;-4.0383;21.7587
Costa Rica;9.972837179;-84.196318439
Cyprus;35.050174204;33.22622979
Czech Republic;49.738854057;15.331770169
Denmark;55.959300779;10.053934054
Ecuador;-1.428836291;-78.775238552
Egypt;26.512273493;29.87049486
El Salvador;13.733468471;-88.865674552
Estonia;58.672040787;25.477224001
Finland;64.522512801;26.158834376
France;46.559417044;2.550539953
Georgia;42.18048659;43.507108898
Germany;51.110631049;10.392277932
Ghana;7.980995107;-1.249772342
Greece;39.0;22.0
Guatemala;14.63325;-90.4671
Hong Kong;22.351958323;114.119385987
Hungary;47.16708877;19.4245317
India;23.379379735;79.443326548
Indonesia;-0.989818182;113.915865
Iraq;33.03897467;43.777172418
Ireland;53.175879846;-8.146006147
Israel;31.977711512;34.979217692
Italy;42.83333;12.83333
Japan;36.655226998;139.271495
Jordan;31.24818948;36.788104303
Kazakhstan;48.183106164;67.195045482
Kenya;0.528430658;37.889698552
Latvia;56.85460987;24.926839006
Lebanon;33.921445166;35.893427744
Lithuania;55.1694;23.8813
Luxembourg;49.8153;6.1296
Macedonia;41.610517106;21.715451042
Malaysia;2.5;112.5
Malta;35.922548856;14.40007259
Mauritius;-20.283556219;57.571817464
Mexico;23.95282499;-102.548353419
Montenegro;42.796154744;19.252099465
Morocco;32.0;-5.0
Mozambique;-18.25;35.0
Myanmar;21.100659454;96.503737821
Nepal;28.259137703;83.944163469
Netherlands;52.249375293;5.6161263980000005
New Zealand;-42.287233564;172.3434325
Nicaragua;12.934455771;-85.006212514
Nigeria;9.593696882;8.106777828
Norway;62.0;10.0
Oman;20.597937333;56.104978153
Pakistan;30.314282999;70.210103639
Palestine;31.912719787;35.204684057
Palestinian Territory;31.9522;35.2332
Panama;8.93960446;-79.972926137
Peru;-10.0;-76.0
Philippines;14.164862797;120.86163
Poland;52.123790154;19.398768986
Portugal;39.593139046;-8.51981299
Qatar;25.285444965;51.193148324
Republic of Moldova;47.201028271;28.463706189
Romania;45.845854975;24.973472215
Russian Federation;61.989526183;96.805371534
San Marino;43.9424;12.4578
Saudi Arabia;24.121369529;44.54882706
Senegal;14.4974;-14.4524
Serbia;44.029364639;20.804550522
Singapore;1.29088;103.85239
Slovakia;48.708702073;19.487749084
Slovenia;46.1512;14.9955
South Africa;-28.997182288;25.08504994
South Korea;36.356270963;127.806395933
Spain;40.22794966;-3.646063105
Sri Lanka;7.617678409;80.698632418
Sudan;16.053254132;30.009189122
Sweden;64.712585547;17.260487956
Switzerland;46.799817442;8.245024096
Taiwan;23.752816021;120.953463961
Thailand;15.116802787;101.012239206
Togo;8.53904981;0.974444064
Tunisia;34.116317988;9.608516496
Turkey;39.066250645;35.142286272
UK;53.408386605;-1.969559544
USA;39.398703156;-99.41461919
Uganda;1.3733;32.2903
Ukraine;49.026898375;31.374926053
United Arab Emirates;23.914869621;54.326858184
Uruguay;-32.79326569;-56.020757924
Uzbekistan;41.581345637;63.421883014
Viet Nam;16.16667;107.83333
Zambia;-14.468803663;28.767972881
Zimbabwe;-19.016205471;29.884276749
